ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat99
3968M,0.5,684109824.0,0.498274,250,41409476
3968M,0.5,731115520.0,0.497997,250,41623180
3968M,0.5,731115520.0,0.497745,250,41537993
3968M,0.5,731734016.0,0.49782,250,41535562
3968M,0.5,805822464.0,0.497846,250,41427764
3968M,0.5,844906496.0,0.498004,300,43385924
3968M,0.5,844906496.0,0.497824,300,43368967
3968M,0.5,846692352.0,0.497851,300,43712187
3968M,0.5,846692352.0,0.497903,300,43532007
3968M,0.5,840130560.0,0.498152,300,43803696
3968M,0.5,904724480.0,0.498303,350,46141929
3968M,0.5,809771008.0,0.498406,400,47895301
3968M,0.5,894136320.0,0.497989,400,47641356
3968M,0.5,1135255552.0,0.49794,400,47882948
3968M,0.5,1071206400.0,0.497561,400,47702852
3968M,0.5,1057832960.0,0.497835,400,47912807
3968M,0.5,926167040.0,0.49795,450,48630985
3968M,0.5,1217204224.0,0.497708,450,48569088
3968M,0.5,1132306432.0,0.497468,450,48423152
3968M,0.5,1059233792.0,0.497537,450,48479382
3968M,0.5,1205772288.0,0.497372,450,48397003
3968M,0.5,1028317184.0,0.496444,500,48856415
3968M,0.5,1261928448.0,0.497464,500,48860064
3840M,0.5,647843840.0,0.304458,50,224149
3840M,0.5,249581568.0,0.433587,50,209671
3840M,0.5,255324160.0,0.477339,50,193363
3840M,0.5,256135168.0,0.459459,50,203370
3840M,0.5,493625344.0,0.442299,100,17052470
3840M,0.5,451723264.0,0.414109,100,16577578
3840M,0.5,490053632.0,0.441797,100,16744770
3840M,0.5,420929536.0,0.448193,100,15949672
3840M,0.5,450662400.0,0.463759,100,16534993
3840M,0.5,552321024.0,0.454702,150,29782543
3840M,0.5,552321024.0,0.467692,150,30227894
3840M,0.5,626110464.0,0.476052,150,29476872
3840M,0.5,626110464.0,0.487581,150,29775609
3840M,0.5,565493760.0,0.498627,150,30365929
3840M,0.5,619151360.0,0.498331,200,36644306
3840M,0.5,697626624.0,0.498506,200,36813384
3840M,0.5,697626624.0,0.498402,200,36549356
3840M,0.5,664846336.0,0.498183,200,36856716
3840M,0.5,664846336.0,0.498085,200,36697689
3840M,0.5,696664064.0,0.498012,250,41322613
3840M,0.5,723664896.0,0.498139,250,41304889
3840M,0.5,736047104.0,0.497864,250,41611589
3840M,0.5,736047104.0,0.498494,250,41207402
3840M,0.5,723312640.0,0.498035,250,41400104
3840M,0.5,839413760.0,0.498167,300,43573322
3840M,0.5,852119552.0,0.497751,300,43403735
3840M,0.5,852119552.0,0.498141,300,43415561
3840M,0.5,851644416.0,0.498299,350,46252210
3840M,0.5,1022361600.0,0.497901,350,46050460
3840M,0.5,910430208.0,0.497893,350,46209247
3840M,0.5,1053118464.0,0.49777,400,47818391
3840M,0.5,1016487936.0,0.498007,400,47535008
3840M,0.5,898129920.0,0.497908,450,48289505
3840M,0.5,1134501888.0,0.497849,450,48253645
3840M,0.5,950276096.0,0.49754,500,49023061
3840M,0.5,1308717056.0,0.497713,500,48753895
3712M,0.5,621596672.0,0.319311,50,219617
3712M,0.5,247447552.0,0.401493,50,257652
3712M,0.5,251031552.0,0.451285,50,213499
3712M,0.5,252334080.0,0.461762,50,194556
3712M,0.5,257646592.0,0.439592,50,184636
3712M,0.5,484720640.0,0.419122,100,16108385
3712M,0.5,466755584.0,0.427784,100,16185014
3712M,0.5,444608512.0,0.435809,100,17361396
3712M,0.5,455360512.0,0.443752,100,15937274
3712M,0.5,434339840.0,0.462576,100,16576544
3712M,0.5,657756160.0,0.456916,150,30400920
3712M,0.5,657756160.0,0.465863,150,30548856
3712M,0.5,501825536.0,0.477447,150,30266379
3712M,0.5,557690880.0,0.488004,150,30566186
