time,ram_limit,cpu_limit,ram_usage,cpu_usage,n
1636729948,4096000000,4.0,77746176.0,0.005439,10
1636729958,4096000000,4.0,142446592.0,0.005439,20
1636729969,4096000000,4.0,186458112.0,0.057025,30
1636729979,4096000000,4.0,219820032.0,0.057025,40
1636729990,4096000000,4.0,308817920.0,0.121859,50
1636730001,4096000000,4.0,359063552.0,0.121859,60
1636730014,4096000000,4.0,407564288.0,0.254618,70
1636730025,4096000000,4.0,418385920.0,0.260728,80
1636730036,4096000000,4.0,419557376.0,0.332649,90
1636730247,3840000000,4.0,492351488.0,0.004925,10
1636730257,3840000000,4.0,557195264.0,0.0,20
1636730268,3840000000,4.0,591814656.0,0.0,30
1636730278,3840000000,4.0,656691200.0,0.053265,40
1636730289,3840000000,4.0,698241024.0,0.081958,50
1636730300,3840000000,4.0,748433408.0,0.081958,60
1636730311,3840000000,4.0,831381504.0,0.306171,70
1636730323,3840000000,4.0,836165632.0,0.295171,80
1636730334,3840000000,4.0,836165632.0,0.295171,90
1636730346,3840000000,4.0,426864640.0,0.321365,100
1636730358,3840000000,4.0,437243904.0,0.302413,110
1636730370,3840000000,4.0,442044416.0,0.302413,120
1636730382,3840000000,4.0,449056768.0,0.489358,130
1636730394,3840000000,4.0,456003584.0,0.420106,140
1636730407,3840000000,4.0,462061568.0,0.639154,150
1636730419,3840000000,4.0,470548480.0,0.308838,160
1636730434,3840000000,4.0,479657984.0,0.661438,170
1636730447,3840000000,4.0,487751680.0,0.719216,180
1636730460,3840000000,4.0,569876480.0,0.556198,190
1636730477,3840000000,4.0,579821568.0,0.617123,200
1636730499,3840000000,4.0,590696448.0,0.505214,210
1636730521,3840000000,4.0,600788992.0,0.630222,220
1636730542,3840000000,4.0,612478976.0,0.741443,230
1636730564,3840000000,4.0,624115712.0,0.683492,240
1636730586,3840000000,4.0,635645952.0,0.748488,250
1636730607,3840000000,4.0,647229440.0,0.8431,260
1636730630,3840000000,4.0,660688896.0,0.946567,270
1636730652,3840000000,4.0,674873344.0,0.849378,280
1636730675,3840000000,4.0,689561600.0,0.723851,290
1636730701,3840000000,4.0,704430080.0,1.153578,300
1636730729,3840000000,4.0,719749120.0,1.299474,310
1636730758,3840000000,4.0,738541568.0,0.846444,320
1636730789,3840000000,4.0,755097600.0,0.753793,330
1636730822,3840000000,4.0,772083712.0,1.078329,340
1636730857,3840000000,4.0,792461312.0,0.819984,350
1636730894,3840000000,4.0,809615360.0,1.358302,360
1636730932,3840000000,4.0,829034496.0,1.118343,370
1636730974,3840000000,4.0,848891904.0,0.839191,380
1636731017,3840000000,4.0,870842368.0,1.075654,390
1636731063,3840000000,4.0,893358080.0,1.008432,400
1636731110,3840000000,4.0,915644416.0,1.191096,410
1636731162,3840000000,4.0,938586112.0,0.918992,420
1636731215,3840000000,4.0,961359872.0,0.858284,430
1636731270,3840000000,4.0,985518080.0,1.256305,440
1636731328,3840000000,4.0,1010294784.0,1.341431,450
1636731389,3840000000,4.0,1034936320.0,1.20118,460
1636731451,3840000000,4.0,1061793792.0,0.956712,470
1636731517,3840000000,4.0,1088569344.0,1.20318,480
1636731585,3840000000,4.0,1116397568.0,1.228785,490
1636731657,3840000000,4.0,1144758272.0,0.944812,500
1636731732,3840000000,4.0,1173270528.0,1.085708,510
1636731810,3840000000,4.0,1203683328.0,1.26656,520
1636732819,3584000000,4.0,1527037952.0,0.047424,10
1636732829,3584000000,4.0,1591603200.0,0.096175,20
1636732839,3584000000,4.0,1626238976.0,0.052301,30
1636732851,3584000000,4.0,1659576320.0,0.046587,40
1636732862,3584000000,4.0,1732579328.0,0.046587,50
1636732873,3584000000,4.0,1835102208.0,0.069612,60
1636732884,3584000000,4.0,1857413120.0,0.243432,70
1636732895,3584000000,4.0,1866489856.0,0.280319,80
1636732906,3584000000,4.0,1870483456.0,0.345451,90
1636732919,3584000000,4.0,1870483456.0,0.345451,100
1636732930,3584000000,4.0,435957760.0,0.315133,110
1636732944,3584000000,4.0,441368576.0,0.581087,120
1636732956,3584000000,4.0,448389120.0,0.443052,130
1636732968,3584000000,4.0,455307264.0,0.417128,140
1636732980,3584000000,4.0,462209024.0,0.506927,150
1636732992,3584000000,4.0,470519808.0,0.506927,160
1636733008,3584000000,4.0,480538624.0,0.627394,170
1636733021,3584000000,4.0,547110912.0,0.568613,180
1636733034,3584000000,4.0,558755840.0,0.498812,190
1636733051,3584000000,4.0,566919168.0,0.666055,200
1636733073,3584000000,4.0,578351104.0,0.7387,210
1636733096,3584000000,4.0,587083776.0,0.746424,220
1636733116,3584000000,4.0,599220224.0,0.764811,230
1636733138,3584000000,4.0,612216832.0,0.885877,240
1636733161,3584000000,4.0,624164864.0,0.775642,250
1636733181,3584000000,4.0,635613184.0,0.590169,260
1636733205,3584000000,4.0,649969664.0,0.69612,270
1636733227,3584000000,4.0,663203840.0,0.868147,280
1636733250,3584000000,4.0,678895616.0,0.719302,290
1636733276,3584000000,4.0,693723136.0,1.222773,300
1636733303,3584000000,4.0,708960256.0,1.137279,310
1636733333,3584000000,4.0,726761472.0,0.957261,320
1636733363,3584000000,4.0,743591936.0,0.777135,330
1636733397,3584000000,4.0,760504320.0,0.897834,340
1636733432,3584000000,4.0,780357632.0,0.826085,350
1636733469,3584000000,4.0,798130176.0,1.2909,360
1636733507,3584000000,4.0,817393664.0,1.142583,370
1636733549,3584000000,4.0,837238784.0,0.891592,380
