time,ram_limit,cpu_limit,ram_usage,cpu_usage,n
1636968173,4096000000,3.5,344133632.0,0.030604,10
1636968185,4096000000,3.5,408846336.0,0.030604,20
1636968195,4096000000,3.5,452792320.0,0.051691,30
1636968206,4096000000,3.5,486100992.0,0.072742,40
1636968217,4096000000,3.5,574951424.0,0.072742,50
1636968227,4096000000,3.5,625209344.0,0.023416,60
1636968239,4096000000,3.5,675835904.0,0.246873,70
1636968250,4096000000,3.5,685297664.0,0.252801,80
1636968262,4096000000,3.5,690679808.0,0.367946,90
1636968273,4096000000,3.5,696901632.0,0.321831,100
1636968285,4096000000,3.5,705572864.0,0.321831,110
1636968297,4096000000,3.5,711450624.0,0.482,120
1636968309,4096000000,3.5,711450624.0,0.362284,130
1636968325,4096000000,3.5,455262208.0,0.606943,140
1636968337,4096000000,3.5,462319616.0,0.547415,150
1636968350,4096000000,3.5,469245952.0,0.453953,160
1636968368,4096000000,3.5,472141824.0,0.489721,170
1636968568,3840000000,3.5,547762176.0,0.005774,10
1636968578,3840000000,3.5,612409344.0,0.005103,20
1636968589,3840000000,3.5,656584704.0,0.023226,30
1636968600,3840000000,3.5,689864704.0,0.023226,40
1636968610,3840000000,3.5,778420224.0,0.101033,50
1636968621,3840000000,3.5,828821504.0,0.093466,60
1636968633,3840000000,3.5,878243840.0,0.270659,70
1636968645,3840000000,3.5,887033856.0,0.269689,80
1636968657,3840000000,3.5,892862464.0,0.404692,90
1636968668,3840000000,3.5,421314560.0,0.239197,100
1636968868,3584000000,3.5,497131520.0,0.003779,10
1636968879,3584000000,3.5,561831936.0,0.003779,20
1636968889,3584000000,3.5,605822976.0,0.015611,30
1636968900,3584000000,3.5,639262720.0,0.015611,40
1636968911,3584000000,3.5,728248320.0,0.093507,50
1636968922,3584000000,3.5,778522624.0,0.007509,60
1636968933,3584000000,3.5,835457024.0,0.243756,70
1636968944,3584000000,3.5,839274496.0,0.248705,80
1636968956,3584000000,3.5,840454144.0,0.361703,90
1636969156,3328000000,3.5,491528192.0,0.027407,10
1636969166,3328000000,3.5,559284224.0,0.069415,20
1636969177,3328000000,3.5,603545600.0,0.091364,30
1636969187,3328000000,3.5,636891136.0,0.007068,40
1636969198,3328000000,3.5,725549056.0,0.036364,50
1636969209,3328000000,3.5,775757824.0,0.036364,60
1636969220,3328000000,3.5,826744832.0,0.319335,70
1636969231,3328000000,3.5,836427776.0,0.375254,80
1636969243,3328000000,3.5,841076736.0,0.430065,90
1636969254,3328000000,3.5,841326592.0,0.249378,100
1636969266,3328000000,3.5,436097024.0,0.34675,110
1636969278,3328000000,3.5,443326464.0,0.472602,120
1636969290,3328000000,3.5,448761856.0,0.396434,130
1636969306,3328000000,3.5,454160384.0,0.503941,140
1636969319,3328000000,3.5,462823424.0,0.48917,150
1636969331,3328000000,3.5,469913600.0,0.48917,160
1636969629,3072000000,3.5,548319232.0,0.003843,10
1636969640,3072000000,3.5,548319232.0,0.003843,20
1636969650,3072000000,3.5,184639488.0,0.066355,30
1636969661,3072000000,3.5,218054656.0,0.07395,40
1636969672,3072000000,3.5,306610176.0,0.07395,50
1636969683,3072000000,3.5,356499456.0,0.012816,60
1636969695,3072000000,3.5,405692416.0,0.246282,70
1636969706,3072000000,3.5,415481856.0,0.261062,80
1636969717,3072000000,3.5,422449152.0,0.261062,90
1636969729,3072000000,3.5,428367872.0,0.307722,100
1636969741,3072000000,3.5,432164864.0,0.317728,110
1636969752,3072000000,3.5,439025664.0,0.317728,120
1636969764,3072000000,3.5,444653568.0,0.291742,130
1636969779,3072000000,3.5,450564096.0,0.567497,140
1636969792,3072000000,3.5,459288576.0,0.530167,150
1636969804,3072000000,3.5,466325504.0,0.434643,160
1636969822,3072000000,3.5,477396992.0,0.495444,170
1636969835,3072000000,3.5,519852032.0,0.572212,180
1636969848,3072000000,3.5,558231552.0,0.736394,190
1636969866,3072000000,3.5,566181888.0,0.703976,200
1636969887,3072000000,3.5,578473984.0,0.603074,210
1636969909,3072000000,3.5,579997696.0,0.663529,220
1636970112,2816000000,3.5,656101376.0,0.070523,10
1636970122,2816000000,3.5,720662528.0,0.0,20
1636970133,2816000000,3.5,764432384.0,0.05417,30
1636970143,2816000000,3.5,797761536.0,0.05417,40
1636970155,2816000000,3.5,870477824.0,0.080437,50
1636970166,2816000000,3.5,920670208.0,0.096429,60
1636970177,2816000000,3.5,991756288.0,0.246554,70
1636970188,2816000000,3.5,995844096.0,0.312771,80
1636970199,2816000000,3.5,995844096.0,0.312771,90
1636970211,2816000000,3.5,431951872.0,0.417348,100
1636970224,2816000000,3.5,436592640.0,0.397687,110
1636970238,2816000000,3.5,441991168.0,0.46524,120
1636970251,2816000000,3.5,448782336.0,0.464925,130
1636970263,2816000000,3.5,455122944.0,0.359914,140
1636970281,2816000000,3.5,462483456.0,0.540203,150
1636970294,2816000000,3.5,471293952.0,0.489438,160
1636970307,2816000000,3.5,526589952.0,0.489438,170
1636970324,2816000000,3.5,533381120.0,0.659261,180
1636970346,2816000000,3.5,543678464.0,0.527172,190
1636970366,2816000000,3.5,554168320.0,0.707264,200
1636970388,2816000000,3.5,565149696.0,0.618389,210
1636970409,2816000000,3.5,575033344.0,0.542972,220
1636970431,2816000000,3.5,587272192.0,0.682024,230
1636970452,2816000000,3.5,598642688.0,0.839435,240
1636970475,2816000000,3.5,612417536.0,0.661225,250
1636970498,2816000000,3.5,624373760.0,0.895654,260
1636970518,2816000000,3.5,638713856.0,0.941462,270
1636970542,2816000000,3.5,652185600.0,0.847785,280
1636970566,2816000000,3.5,667308032.0,0.72727,290
1636970590,2816000000,3.5,682557440.0,1.126431,300
1636970618,2816000000,3.5,697393152.0,0.997285,310
1636970649,2816000000,3.5,714584064.0,0.878286,320
1636970679,2816000000,3.5,732057600.0,0.867167,330
1636970712,2816000000,3.5,751304704.0,0.88627,340
1636970747,2816000000,3.5,769445888.0,0.932042,350
1636970785,2816000000,3.5,787877888.0,1.214456,360
1636970824,2816000000,3.5,806088704.0,1.062163,370
1636970866,2816000000,3.5,825884672.0,0.896597,380
1636970909,2816000000,3.5,847040512.0,1.025817,390
1636970954,2816000000,3.5,869486592.0,1.177669,400
1636971003,2816000000,3.5,891392000.0,1.030224,410
1636971053,2816000000,3.5,915025920.0,1.217904,420
1636971106,2816000000,3.5,937689088.0,0.89198,430
1636971162,2816000000,3.5,960942080.0,0.89198,440
1636971221,2816000000,3.5,986091520.0,1.086147,450
1636971281,2816000000,3.5,1010954240.0,1.206432,460
1636971345,2816000000,3.5,1038311424.0,1.005031,470
1636971412,2816000000,3.5,1064181760.0,1.021376,480
1636971481,2816000000,3.5,1092456448.0,1.319641,490
1636971552,2816000000,3.5,1120567296.0,0.991545,500
1636971628,2816000000,3.5,1150021632.0,1.005666,510
1636971705,2816000000,3.5,1179967488.0,1.370486,520
1636971786,2816000000,3.5,1210757120.0,0.948987,530
1636971871,2816000000,3.5,1240956928.0,1.078527,540
1636972682,2560000000,3.5,1458421760.0,0.003593,10
1636972692,2560000000,3.5,1532932096.0,0.053662,20
1636972703,2560000000,3.5,1558118400.0,0.053662,30
1636972714,2560000000,3.5,1622724608.0,0.022633,40
1636972724,2560000000,3.5,1664393216.0,0.022633,50
