time,ram_limit,cpu_limit,ram_usage,cpu_usage,n
1636874636,4096000000,2.5,340934656.0,0.048641,10
1636874647,4096000000,2.5,415555584.0,0.013304,20
1636874657,4096000000,2.5,440459264.0,0.013304,30
1636874668,4096000000,2.5,505188352.0,0.050585,40
1636874678,4096000000,2.5,546959360.0,0.050585,50
1636874690,4096000000,2.5,653058048.0,0.076809,60
1636874701,4096000000,2.5,679714816.0,0.297174,70
1636874713,4096000000,2.5,685166592.0,0.263476,80
1636874724,4096000000,2.5,689229824.0,0.263476,90
1636874739,4096000000,2.5,695382016.0,0.348308,100
1636874750,4096000000,2.5,695382016.0,0.253507,110
1636874957,3840000000,2.5,453410816.0,0.0,10
1636874967,3840000000,2.5,567496704.0,0.007717,20
1636874978,3840000000,2.5,611504128.0,0.007751,30
1636874989,3840000000,2.5,644861952.0,0.007751,40
1636874999,3840000000,2.5,733503488.0,0.052782,50
1636875010,3840000000,2.5,783712256.0,0.102721,60
1636875022,3840000000,2.5,834650112.0,0.288844,70
1636875034,3840000000,2.5,843010048.0,0.25834,80
1636875045,3840000000,2.5,843010048.0,0.25834,90
1636875057,3840000000,2.5,432013312.0,0.387407,100
1636875068,3840000000,2.5,436338688.0,0.385027,110
1636875080,3840000000,2.5,442957824.0,0.400327,120
1636875092,3840000000,2.5,449261568.0,0.44803,130
1636875106,3840000000,2.5,453328896.0,0.388331,140
1636875118,3840000000,2.5,462270464.0,0.483044,150
1636875131,3840000000,2.5,470024192.0,0.483044,160
1636875149,3840000000,2.5,479416320.0,0.496449,170
1636875162,3840000000,2.5,487727104.0,0.752527,180
1636875175,3840000000,2.5,557264896.0,0.541717,190
1636875192,3840000000,2.5,565977088.0,0.611598,200
1636875214,3840000000,2.5,575946752.0,0.525646,210
1636875237,3840000000,2.5,586428416.0,0.619079,220
1636875257,3840000000,2.5,598839296.0,0.743837,230
1636875280,3840000000,2.5,608772096.0,0.69192,240
1636875301,3840000000,2.5,622514176.0,0.854201,250
1636875323,3840000000,2.5,634343424.0,0.899084,260
1636875346,3840000000,2.5,648568832.0,0.862337,270
1636875368,3840000000,2.5,661737472.0,1.011552,280
1636875391,3840000000,2.5,677797888.0,0.806475,290
1636875418,3840000000,2.5,692723712.0,1.049379,300
1636875445,3840000000,2.5,707379200.0,1.334186,310
1636875474,3840000000,2.5,725004288.0,0.758247,320
1636875505,3840000000,2.5,742412288.0,0.757434,330
1636875539,3840000000,2.5,759762944.0,1.128258,340
1636875574,3840000000,2.5,779255808.0,1.052452,350
1636875611,3840000000,2.5,797523968.0,1.271372,360
1636875650,3840000000,2.5,815849472.0,1.369348,370
1636875692,3840000000,2.5,836546560.0,0.81896,380
1636875735,3840000000,2.5,856657920.0,0.993305,390
1636875782,3840000000,2.5,880619520.0,1.040289,400
1636875829,3840000000,2.5,901144576.0,1.120422,410
1636875881,3840000000,2.5,924119040.0,0.856892,420
1636875934,3840000000,2.5,947986432.0,1.151949,430
1636875990,3840000000,2.5,972075008.0,1.303383,440
1636876048,3840000000,2.5,998543360.0,1.145567,450
1636876110,3840000000,2.5,1023275008.0,0.991826,460
1636876173,3840000000,2.5,1050333184.0,0.978146,470
1636876239,3840000000,2.5,1076006912.0,1.111048,480
1636876309,3840000000,2.5,1104408576.0,1.130654,490
1636876381,3840000000,2.5,1132810240.0,0.926456,500
1636876455,3840000000,2.5,1161965568.0,1.169797,510
1636876534,3840000000,2.5,1192288256.0,1.256643,520
1636877550,3584000000,2.5,1512480768.0,5e-05,10
1636877560,3584000000,2.5,1577209856.0,0.066863,20
1636877571,3584000000,2.5,1611780096.0,0.066863,30
1636877581,3584000000,2.5,1676566528.0,0.035989,40
1636877592,3584000000,2.5,1718255616.0,0.035989,50
1636877603,3584000000,2.5,1822748672.0,0.055479,60
1636877614,3584000000,2.5,1845395456.0,0.25078,70
1636877627,3584000000,2.5,1855651840.0,0.371683,80
1636877638,3584000000,2.5,1855651840.0,0.274845,90
1636877650,3584000000,2.5,430600192.0,0.274845,100
1636877662,3584000000,2.5,439762944.0,0.404595,110
1636877673,3584000000,2.5,442077184.0,0.371587,120
1636877686,3584000000,2.5,449789952.0,0.485171,130
1636877698,3584000000,2.5,455798784.0,0.516404,140
1636877712,3584000000,2.5,462012416.0,0.497864,150
1636877726,3584000000,2.5,471527424.0,0.565252,160
1636877739,3584000000,2.5,479399936.0,0.325006,170
1636877756,3584000000,2.5,530546688.0,0.8578,180
1636877776,3584000000,2.5,546340864.0,0.583056,190
1636877798,3584000000,2.5,554717184.0,0.527584,200
1636877820,3584000000,2.5,565391360.0,0.586119,210
1636877840,3584000000,2.5,574885888.0,0.51058,220
1636877863,3584000000,2.5,588042240.0,0.783207,230
1636877884,3584000000,2.5,598806528.0,0.698415,240
1636877906,3584000000,2.5,612499456.0,0.814446,250
1636877929,3584000000,2.5,624406528.0,0.891415,260
1636877950,3584000000,2.5,638377984.0,0.842662,270
