file,rows,start,end,duration_h,path
amf-performance_seg36_20211118_073734.csv,894,2021-11-18 07:37:34,2021-11-18 17:33:47,9.937,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg36_20211118_073734.csv
amf-performance_seg37_20211118_180225.csv,139,2021-11-18 18:02:25,2021-11-18 19:27:15,1.414,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg37_20211118_180225.csv
amf-performance_seg38_20211118_195226.csv,22,2021-11-18 19:52:26,2021-11-18 20:09:05,0.278,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg38_20211118_195226.csv
amf-performance_seg39_20211118_211313.csv,208,2021-11-18 21:13:13,2021-11-18 23:43:37,2.507,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg39_20211118_211313.csv
amf-performance_seg40_20211119_002724.csv,249,2021-11-19 00:27:24,2021-11-19 03:06:22,2.649,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg40_20211119_002724.csv
amf-performance_seg41_20211119_042314.csv,963,2021-11-19 04:23:14,2021-11-19 15:11:44,10.808,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg41_20211119_042314.csv
amf-performance_seg42_20211119_160505.csv,765,2021-11-19 16:05:05,2021-11-19 23:35:02,7.499,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg42_20211119_160505.csv
amf-performance_seg43_20211120_000836.csv,437,2021-11-20 00:08:36,2021-11-20 05:35:43,5.452,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg43_20211120_000836.csv
amf-performance_seg44_20211120_062838.csv,495,2021-11-20 06:28:38,2021-11-20 11:29:30,5.014,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg44_20211120_062838.csv
amf-performance_seg45_20211120_122232.csv,354,2021-11-20 12:22:32,2021-11-20 15:58:00,3.591,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg45_20211120_122232.csv
amf-performance_seg47_20211120_172821.csv,340,2021-11-20 17:28:21,2021-11-20 21:27:13,3.981,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg47_20211120_172821.csv
amf-performance_seg48_20211120_225055.csv,476,2021-11-20 22:50:55,2021-11-21 04:11:50,5.349,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg48_20211120_225055.csv
amf-performance_seg49_20211121_044843.csv,84,2021-11-21 04:48:43,2021-11-21 06:12:43,1.4,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg49_20211121_044843.csv
amf-performance_seg50_20211121_064931.csv,1869,2021-11-21 06:49:31,2021-11-22 03:36:51,20.789,6g_testbed_dataset/EUR/6907619/split_output/amf-performance_seg50_20211121_064931.csv
