algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,rmse,mae,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank,top_k,n_features,privacy_risk_score,n_sensitive_features,sensitive_features,blocked_features,join_name,split_mode,test_groups
XGBoost,scenario2c,BASE,scenario2c,0.0,3.7611236572265625,0.0,0,0.5395169258117676,0.0,0.0,3.7611236572265625,"{'cpu_limit': 17321297.749630556, 'n': 17260548.456137147, 'ram_limit': 43934.115656095, 'time': 0.0}","['time', 'cpu_limit', 'n', 'ram_limit']",0.0,0.0,0.0,0,4,0.0,0,[],[],,temporal,
RandomForest,scenario2c,BASE,scenario2c,0.0,3.7611236572265625,0.0,0,0.4559941291809082,0.0,0.0,3.7611236572265625,"{'cpu_limit': 16619358.175476959, 'n': 15030099.422278428, 'ram_limit': 101999.16093687937, 'time': 0.0}","['time', 'cpu_limit', 'n', 'ram_limit']",0.0,0.0,0.0,0,4,0.0,0,[],[],,temporal,
XGBoost,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,Join_All_BFS,scenario2c,0.5602147579193115,5.536686658859253,0.0,0,0.945512592792511,0.0,0.0,4.976471900939941,"{'scenario2c/rabbitmq-reduced.csv.n': 20628367.706244014, 'scenario2c/rabbitmq-reduced.csv.cpu_limit': 18751664.285215463, 'scenario2c/rabbitmq-features.csv.cpu_usage': 16551995.307220578, 'scenario2c/rabbitmq-features.csv.ram_usage': 9248833.868885245, 'scenario2c/rabbitmq-features.csv.cpu_limit': 3547665.111951963, 'scenario2c/rabbitmq-features.csv.n': 1736459.3901393719, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 494589.81743825524, 'scenario2c/rabbitmq-features.csv.ram_limit': 340448.37487189955, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-reduced.csv.time', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.ram_limit', 'scenario2c/rabbitmq-features.csv.ram_limit']",0.0,0.0,0.0,0,9,0.0,0,[],[],,temporal,
RandomForest,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,Join_All_BFS,scenario2c,0.5602147579193115,5.536686658859253,0.0,0,0.9377661943435669,0.0,0.0,4.976471900939941,"{'scenario2c/rabbitmq-features.csv.cpu_usage': 17543879.541720144, 'scenario2c/rabbitmq-reduced.csv.n': 16797090.925860457, 'scenario2c/rabbitmq-features.csv.ram_usage': 12975184.58607454, 'scenario2c/rabbitmq-reduced.csv.cpu_limit': 10948171.156141365, 'scenario2c/rabbitmq-features.csv.n': 2247068.375193008, 'scenario2c/rabbitmq-features.csv.cpu_limit': 1547094.1159273437, 'scenario2c/rabbitmq-features.csv.ram_limit': 111994.73985756673, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 66360.96524385587, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-reduced.csv.time', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.ram_limit', 'scenario2c/rabbitmq-features.csv.ram_limit']",0.0,0.0,0.0,0,9,0.0,0,[],[],,temporal,
RandomForest,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,Join_All_BFS_Filter,scenario2c,0.5602147579193115,4.2044408321380615,0.012427091598510742,0,0.9510290026664734,0.0,0.0,3.6317989826202393,"{'scenario2c/rabbitmq-features.csv.cpu_usage': 26759488.593686055, 'scenario2c/rabbitmq-reduced.csv.n': 20257618.43931926, 'scenario2c/rabbitmq-features.csv.ram_usage': 14584194.231474906, 'scenario2c/rabbitmq-features.csv.n': 4439000.769482118, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.n']",0.0,0.0,0.0,0,5,0.0,0,[],[],,temporal,
XGBoost,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,Join_All_BFS_Filter,scenario2c,0.5602147579193115,4.2044408321380615,0.012427091598510742,0,0.9472091197967529,0.0,0.0,3.6317989826202393,"{'scenario2c/rabbitmq-features.csv.cpu_usage': 26414094.46174991, 'scenario2c/rabbitmq-reduced.csv.n': 26221015.923863947, 'scenario2c/rabbitmq-features.csv.ram_usage': 14319180.15950801, 'scenario2c/rabbitmq-features.csv.n': 10967192.807331847, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.n']",0.0,0.0,0.0,0,5,0.0,0,[],[],,temporal,
XGBoost,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,AutoFeatPlus,scenario2c,0.5602147579193115,5.698153972625732,0.04428696632385254,0,0.9518053531646729,0.0,0.0,5.093652248382568,"{'scenario2c/rabbitmq-reduced.csv.n': 20141269.81677004, 'scenario2c/rabbitmq-reduced.csv.cpu_limit': 18874523.37761032, 'scenario2c/rabbitmq-features.csv.cpu_usage': 16969746.81583794, 'scenario2c/rabbitmq-features.csv.ram_usage': 10628334.278929757, 'scenario2c/rabbitmq-features.csv.cpu_limit': 3419526.838891561, 'scenario2c/rabbitmq-features.csv.n': 1718924.7801934008, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 361476.87336727884, 'scenario2c/rabbitmq-features.csv.ram_limit': 203252.69219075833, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.ram_limit', 'scenario2c/rabbitmq-features.csv.ram_limit', 'scenario2c/rabbitmq-reduced.csv.time']",0.0,0.0,0.0,15,9,0.0,0,[],[],,temporal,
RandomForest,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,AutoFeatPlus,scenario2c,0.5602147579193115,5.698153972625732,0.04428696632385254,0,0.9371258020401001,0.0,0.0,5.093652248382568,"{'scenario2c/rabbitmq-features.csv.cpu_usage': 17510659.98910842, 'scenario2c/rabbitmq-reduced.csv.n': 16878127.979023807, 'scenario2c/rabbitmq-features.csv.ram_usage': 12922052.428829065, 'scenario2c/rabbitmq-reduced.csv.cpu_limit': 10925592.598350376, 'scenario2c/rabbitmq-features.csv.n': 2274437.5292448425, 'scenario2c/rabbitmq-features.csv.cpu_limit': 1528566.870256614, 'scenario2c/rabbitmq-features.csv.ram_limit': 109039.98769675866, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 71208.61808400303, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-features.csv.ram_usage', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.ram_limit', 'scenario2c/rabbitmq-features.csv.ram_limit', 'scenario2c/rabbitmq-reduced.csv.time']",0.0,0.0,0.0,15,9,0.0,0,[],[],,temporal,
XGBoost,"[['scenario2c/rabbitmq-reduced.csv', 'time', 'time', 'scenario2c/rabbitmq-features.csv']]",AutoFeat,scenario2c,0.0,5.358537912368774,0.3469870090484619,0,0.9417154788970947,0.0,0.0,5.0115509033203125,"{'scenario2c/rabbitmq-reduced.csv.cpu_limit': 25426565.811662428, 'scenario2c/rabbitmq-reduced.csv.n': 25146932.402379572, 'scenario2c/rabbitmq-features.csv.cpu_usage': 17854935.3900343, 'scenario2c/rabbitmq-features.csv.n': 6707658.84556099, 'scenario2c/rabbitmq-features.csv.cpu_limit': 3598451.032457564, 'scenario2c/rabbitmq-features.csv.ram_limit': 305086.43138990866, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 216887.65173821134, 'scenario2c/rabbitmq-reduced.csv.time': 0.0}","['scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.time', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.ram_limit', 'scenario2c/rabbitmq-reduced.csv.ram_limit']",0.65,0.0,1.3805198124621616,15,8,0.0,0,[],[],scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,temporal,
RandomForest,"[['scenario2c/rabbitmq-reduced.csv', 'time', 'time', 'scenario2c/rabbitmq-features.csv']]",AutoFeat,scenario2c,0.0,5.358537912368774,0.3469870090484619,0,0.903030276298523,0.0,0.0,5.0115509033203125,"{'scenario2c/rabbitmq-reduced.csv.n': 23023526.924415804, 'scenario2c/rabbitmq-features.csv.cpu_usage': 18149553.357985787, 'scenario2c/rabbitmq-reduced.csv.cpu_limit': 11252759.117606938, 'scenario2c/rabbitmq-features.csv.n': 8893746.706080068, 'scenario2c/rabbitmq-reduced.csv.ram_limit': 47988.14655434601, 'scenario2c/rabbitmq-features.csv.ram_limit': 42975.08468772769, 'scenario2c/rabbitmq-reduced.csv.time': 0.0, 'scenario2c/rabbitmq-features.csv.cpu_limit': -435385.66792124545}","['scenario2c/rabbitmq-features.csv.n', 'scenario2c/rabbitmq-reduced.csv.n', 'scenario2c/rabbitmq-features.csv.cpu_usage', 'scenario2c/rabbitmq-reduced.csv.cpu_limit', 'scenario2c/rabbitmq-reduced.csv.time', 'scenario2c/rabbitmq-features.csv.cpu_limit', 'scenario2c/rabbitmq-features.csv.ram_limit', 'scenario2c/rabbitmq-reduced.csv.ram_limit']",0.65,0.0,1.3805198124621616,15,8,0.0,0,[],[],scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv,temporal,
