scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/python-web-server-performance.csv.lat98,python-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/python-web-server-performance.csv.lat99,python-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat100,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.dt,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.dt.day,amf-performance.csv.dt,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/python-web-server-performance.csv.lat100,python-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat66,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat99,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat100,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat50,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat75,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat80,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat90,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat95,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat98,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat98,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.lat99,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat50,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat75,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat80,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat90,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.lat95,golang-web-server-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.dt.dayofweek,amf-performance.csv.dt,-0.009389429832364727
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.time,golang-web-server-performance.csv,-0.0466505783410895
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/amf-performance.csv.time,amf-performance.csv,-0.10341954804854651
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.cpu_usage,golang-web-server-performance.csv,-0.2720822194981153
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,-0.7581970266654665
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,193.70037270953526
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.cpu_usage,rabbitmq-performance.csv,21.182497269426744
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.ram_limit,rabbitmq-performance.csv,19.377594062049926
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.min,rabbitmq-performance.csv,5.268508942932789
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat75,rabbitmq-performance.csv,0.7784309663204212
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat99,rabbitmq-performance.csv,0.47596678876873
