scenario,approach,algorithm,accuracy,rmse,mae,n_features,train_time,total_time,feature_selection_time,rank,top_k,join_name,__source_file,base_accuracy,delta_vs_base
scenarioA_lat99,BASE,XGBoost,0.950840175151825,0.0,0.0,0,4.893959999084473,4.893959999084473,0.0,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.950840175151825,0.0
scenarioA_lat99,BASE,RandomForest,0.9408420324325562,0.0,0.0,0,4.893959999084473,4.893959999084473,0.0,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.9408420324325562,0.0
scenarioA_lat99,Join_All_BFS,XGBoost,0.9551076889038086,0.0,0.0,0,11.94756007194519,13.389441013336182,0.0,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.950840175151825,0.0043
scenarioA_lat99,Join_All_BFS,RandomForest,0.927794635295868,0.0,0.0,0,11.94756007194519,13.389441013336182,0.0,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.9408420324325562,-0.013
scenarioA_lat99,Join_All_BFS_Filter,XGBoost,0.9517884850502014,0.0,0.0,0,7.692154169082642,9.159847259521484,0.0258121490478515,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.950840175151825,0.0009
scenarioA_lat99,Join_All_BFS_Filter,RandomForest,0.9256645441055298,0.0,0.0,0,7.692154169082642,9.159847259521484,0.0258121490478515,0.0,0,,auto_pipeline_scenarioA_lat99_summary.csv,0.9408420324325562,-0.0152
scenarioA_lat99,AutoFeat,XGBoost,0.9765158891677856,0.0,0.0,6,4.857165813446045,5.220323801040649,0.3631579875946045,0.0,15,scenarioA_lat99/rabbitmq-reduced.csv,auto_pipeline_scenarioA_lat99_summary.csv,0.950840175151825,0.0257
scenarioA_lat99,AutoFeat,RandomForest,0.973446249961853,0.0,0.0,6,4.857165813446045,5.220323801040649,0.3631579875946045,0.0,15,scenarioA_lat99/rabbitmq-reduced.csv,auto_pipeline_scenarioA_lat99_summary.csv,0.9408420324325562,0.0326
scenarioB_amf_seg01,BASE,RandomForest,0.9423599243164062,0.0,0.0,0,0.7020859718322754,0.7020859718322754,0.0,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9423599243164062,0.0
scenarioB_amf_seg01,BASE,XGBoost,0.9412156939506532,0.0,0.0,0,0.7020859718322754,0.7020859718322754,0.0,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9412156939506532,0.0
scenarioB_amf_seg01,Join_All_BFS,RandomForest,0.9328939914703368,0.0,0.0,0,1.7225830554962158,1.991023302078247,0.0,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9423599243164062,-0.0095
scenarioB_amf_seg01,Join_All_BFS,XGBoost,0.9337435960769652,0.0,0.0,0,1.7225830554962158,1.991023302078247,0.0,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9412156939506532,-0.0075
scenarioB_amf_seg01,Join_All_BFS_Filter,RandomForest,0.7418175935745239,0.0,0.0,0,0.9931261539459229,1.2656702995300293,0.0041038990020751,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9423599243164062,-0.2005
scenarioB_amf_seg01,Join_All_BFS_Filter,XGBoost,0.6856189966201782,0.0,0.0,0,0.9931261539459229,1.2656702995300293,0.0041038990020751,0.0,0,,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9412156939506532,-0.2556
scenarioB_amf_seg01,AutoFeat,RandomForest,0.8884532451629639,0.0,0.0,38,0.7955441474914551,1.6581950187683103,0.8626508712768555,1.7682346737764827,15,scenarioB_seg01/amf-seg01-reduced.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg02_20211112_151228.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg04_20211113_042705.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg05_20211113_141818.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg06_20211113_155101.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg07_20211113_175525.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg08_20211113_190233.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg09_20211113_201749.csv,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9423599243164062,-0.0539
scenarioB_amf_seg01,AutoFeat,XGBoost,0.8744986653327942,0.0,0.0,38,0.7955441474914551,1.6581950187683103,0.8626508712768555,1.7682346737764827,15,scenarioB_seg01/amf-seg01-reduced.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg02_20211112_151228.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg04_20211113_042705.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg05_20211113_141818.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg06_20211113_155101.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg07_20211113_175525.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg08_20211113_190233.csv--scenarioB_seg01/amf-seg01-reduced.csv|n|n|scenarioB_seg01/amf-performance_seg09_20211113_201749.csv,auto_pipeline_scenarioB_amf_seg01_summary.csv,0.9412156939506532,-0.0667
scenarioK_csi,BASE,XGBoost,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,auto_pipeline_scenarioK_csi_summary.csv,0.0,0.0
scenarioK_csi,Join_All_BFS,XGBoost,0.9895833333333334,0.0,0.0,0,285.45157194137573,297.947918176651,0.0,0.0,0,,auto_pipeline_scenarioK_csi_summary.csv,0.0,0.9896
scenarioK_csi,Join_All_BFS,RandomForest,1.0,0.0,0.0,0,285.45157194137573,297.947918176651,0.0,0.0,0,,auto_pipeline_scenarioK_csi_summary.csv,,
scenarioK_csi,Join_All_BFS_Filter,XGBoost,0.9947916666666666,0.0,0.0,0,65.60742402076721,78.29050540924072,0.1867351531982422,0.0,0,,auto_pipeline_scenarioK_csi_summary.csv,0.0,0.9948
scenarioK_csi,Join_All_BFS_Filter,RandomForest,1.0,0.0,0.0,0,65.60742402076721,78.29050540924072,0.1867351531982422,0.0,0,,auto_pipeline_scenarioK_csi_summary.csv,,
scenarioK_csi,AutoFeat,XGBoost,1.0,0.0,0.0,73,0.7312331199645996,32.49117422103882,31.75994110107422,1.867229135370143,15,scenarioK_csi/samples_base.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_00_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_04_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_08_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_12_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_16_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_20_features.csv,auto_pipeline_scenarioK_csi_summary.csv,0.0,1.0
scenarioK_csi,AutoFeat,RandomForest,1.0,0.0,0.0,73,0.7312331199645996,32.49117422103882,31.75994110107422,1.867229135370143,15,scenarioK_csi/samples_base.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_00_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_04_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_08_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_12_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_16_features.csv--scenarioK_csi/samples_base.csv|sample_key|sample_key|scenarioK_csi/antenna_20_features.csv,auto_pipeline_scenarioK_csi_summary.csv,,
scenarioK_kul,BASE,XGBoost,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,auto_pipeline_scenarioK_kul_summary.csv,0.0,0.0
scenarioK_kul,Join_All_BFS,XGBoost,1.0,0.0,0.0,0,6.041547060012817,6.308707237243652,0.0,0.0,0,,auto_pipeline_scenarioK_kul_summary.csv,0.0,1.0
scenarioK_kul,Join_All_BFS,RandomForest,1.0,0.0,0.0,0,6.041547060012817,6.308707237243652,0.0,0.0,0,,auto_pipeline_scenarioK_kul_summary.csv,,
scenarioK_kul,Join_All_BFS_Filter,XGBoost,1.0,0.0,0.0,0,2.407503128051758,2.694106340408325,0.0194430351257324,0.0,0,,auto_pipeline_scenarioK_kul_summary.csv,0.0,1.0
scenarioK_kul,Join_All_BFS_Filter,RandomForest,1.0,0.0,0.0,0,2.407503128051758,2.694106340408325,0.0194430351257324,0.0,0,,auto_pipeline_scenarioK_kul_summary.csv,,
scenarioK_kul,AutoFeat,XGBoost,1.0,0.0,0.0,15,0.551544189453125,2.417421340942383,1.8658771514892576,1.73499415481723,15,scenarioK_kul/samples_base.csv--scenarioK_kul/samples_base.csv|sample_key|sample_key|scenarioK_kul/antenna_0_features.csv,auto_pipeline_scenarioK_kul_summary.csv,0.0,1.0
scenarioK_kul,AutoFeat,RandomForest,1.0,0.0,0.0,15,0.551544189453125,2.417421340942383,1.8658771514892576,1.73499415481723,15,scenarioK_kul/samples_base.csv--scenarioK_kul/samples_base.csv|sample_key|sample_key|scenarioK_kul/antenna_0_features.csv,auto_pipeline_scenarioK_kul_summary.csv,,
scenarioN_target_n,BASE,XGBoost,0.9786003232002258,0.0,0.0,0,9.464846134185793,9.464846134185793,0.0,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.9786003232002258,0.0
scenarioN_target_n,BASE,RandomForest,0.973943054676056,0.0,0.0,0,9.464846134185793,9.464846134185793,0.0,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.973943054676056,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,0.995510756969452,0.0,0.0,0,785.2039649486542,1268.9943079948423,0.0,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.9786003232002258,0.0169
scenarioN_target_n,Join_All_BFS,RandomForest,0.99334979057312,0.0,0.0,0,785.2039649486542,1268.9943079948423,0.0,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.973943054676056,0.0194
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,0.9936701059341432,0.0,0.0,0,195.11669826507568,679.2987051010132,0.3916637897491455,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.973943054676056,0.0197
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,0.8878820538520813,0.0,0.0,0,195.11669826507568,679.2987051010132,0.3916637897491455,0.0,0,,auto_pipeline_scenarioN_target_n_summary.csv,0.9786003232002258,-0.0907
scenarioN_target_n,AutoFeat,XGBoost,0.978388488292694,0.0,0.0,13,22.563820123672485,25.018617153167725,2.4547970294952397,0.6735909712142307,15,6907619/rabbitmq-performance.csv--6907619/rabbitmq-performance.csv|cpu_limit|cpu_limit|6907619/amf-performance.csv--6907619/rabbitmq-performance.csv|cpu_limit|cpu_limit|6907619/golang-web-server-performance.csv--6907619/rabbitmq-performance.csv|ram_limit|ram_limit|6907619/rabbitmq-reduced.csv,auto_pipeline_scenarioN_target_n_summary.csv,0.9786003232002258,-0.0002
scenarioN_target_n,AutoFeat,RandomForest,0.9742713570594788,0.0,0.0,13,22.563820123672485,25.018617153167725,2.4547970294952397,0.6735909712142307,15,6907619/rabbitmq-performance.csv--6907619/rabbitmq-performance.csv|cpu_limit|cpu_limit|6907619/amf-performance.csv--6907619/rabbitmq-performance.csv|cpu_limit|cpu_limit|6907619/golang-web-server-performance.csv--6907619/rabbitmq-performance.csv|ram_limit|ram_limit|6907619/rabbitmq-reduced.csv,auto_pipeline_scenarioN_target_n_summary.csv,0.973943054676056,0.0003
