scenario,approach,algorithm,feature,source_table,importance
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,16923528.130865566
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-features.csv.ram_usage,rabbitmq-features.csv,13374642.552117545
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-reduced.csv.cpu_limit,rabbitmq-reduced.csv,10914028.964464761
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,2284675.652643671
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-features.csv.cpu_limit,rabbitmq-features.csv,1537983.754982333
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-features.csv.ram_limit,rabbitmq-features.csv,116025.67014316245
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,71507.3192004703
scenario2c,AutoFeatPlus,RandomForest,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,27664627.038162492
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-reduced.csv.cpu_limit,rabbitmq-reduced.csv,16513027.499473568
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,16191312.357284594
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-features.csv.cpu_limit,rabbitmq-features.csv,3344424.905835003
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,2569621.276362903
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,381887.1595146023
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-features.csv.ram_limit,rabbitmq-features.csv,157892.05822065176
scenario2c,AutoFeat,XGBoost,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,24426177.04314161
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,17925367.60859065
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-reduced.csv.cpu_limit,rabbitmq-reduced.csv,7169015.450185048
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,5636741.797342704
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,38858.195356147364
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-features.csv.ram_limit,rabbitmq-features.csv,38061.575227320565
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,AutoFeat,RandomForest,scenario2c/rabbitmq-features.csv.cpu_limit,rabbitmq-features.csv,-150916.51495327725
