scenario,approach,algorithm,feature,source_table,importance
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat99,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat98,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat95,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat90,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat80,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.ram_usage,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.cpu_usage,python-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat99,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat98,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat80,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat66,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat100,golang-by-n.csv,0.0
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat75,python-by-n.csv,-494.5485490711406
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,26575401.188651238
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,22172822.302503914
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,10846703.278935596
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,3880912.782831557
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat75,golang-by-n.csv,275157.5970563229
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat98,golang-by-n.csv,77788.19485828579
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,74462.22035353426
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat50,golang-by-n.csv,70335.661443034
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat80,golang-by-n.csv,67022.18953297808
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,59338.395499316786
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat95,golang-by-n.csv,58777.93067860138
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat66,golang-by-n.csv,45585.248142215234
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.lat90,golang-by-n.csv,19097.347440577112
scenario1,Join_All_BFS_Filter,RandomForest,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,18382.5802255122
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,25674050.33225026
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,23014448.932938345
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,11587343.5757571
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,3906869.2710674964
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,3039742.6231665565
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat50,golang-by-n.csv,721416.1438318426
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,599239.2457918565
scenario1,Join_All_BFS_Filter,XGBoost,scenario1/golang-by-n.csv.lat95,golang-by-n.csv,43563.766385137846
