time,ram_usage,cpu_usage
1635266086,33177600.0,0.0
1635266105,39505920.0,0.0
1635266127,41988096.0,0.02912
1635266150,41988096.0,0.052645
1635266173,45219840.0,0.083737
1635266193,47726592.0,0.083737
1635266216,54337536.0,0.109957
1635266239,54337536.0,0.140391
1635266263,57245696.0,0.167361
1635266286,57724928.0,0.167361
1635266315,58327040.0,0.19606
1635266344,58626048.0,0.22534
1635266379,58626048.0,0.257742
1635266416,55427072.0,0.282661
1635266453,53506048.0,0.282094
1635266487,54976512.0,0.322815
1635266524,56053760.0,0.307077
1635266562,57520128.0,0.347192
1635266603,59072512.0,0.352716
1635266647,61841408.0,0.36411
1635266689,63057920.0,0.37759
1635266725,63234048.0,0.376833
1635266765,63234048.0,0.383294
1635266813,63279104.0,0.367703
1635266864,63344640.0,0.370104
1635266916,62734336.0,0.369035
1635266962,58793984.0,0.367736
1635267015,58425344.0,0.387864
1635267074,60792832.0,0.410861
1635267136,61898752.0,0.410861
1635267343,64024576.0,0.3656
1635267391,64077824.0,0.354912
1635267450,64077824.0,0.33979
1635267515,62603264.0,0.347461
1635267665,58384384.0,0.379967
1635267736,61558784.0,0.393764
1635267815,61939712.0,0.402903
1635267898,64131072.0,0.426377
1635268087,66994176.0,0.442219
1635268145,66990080.0,0.406991
1635268231,63721472.0,0.40034
1635268310,61714432.0,0.389552
1635268391,61173760.0,0.428384
1635268473,63815680.0,0.448872
1635268562,65335296.0,0.449074
1635268650,66318336.0,0.451161
1635268747,66539520.0,0.451561
1635268926,67993600.0,0.436571
1635268995,65941504.0,0.407368
1635269094,59166720.0,0.390682
1635269187,59711488.0,0.393196
1635269279,60760064.0,0.438563
1635269500,64368640.0,0.434295
1635269760,66850816.0,0.42939
1635269943,68136960.0,0.461737
1635270021,65241088.0,0.484497
1635270117,57495552.0,0.454156
1635270222,59740160.0,0.423339
1635270328,60157952.0,0.445565
1635270434,61059072.0,0.459646
1635270552,63254528.0,0.469072
1635270889,68943872.0,0.474415
1635271128,68718592.0,0.4423
1635271215,66023424.0,0.426947
1635271464,60616704.0,0.429806
1635271585,61161472.0,0.432677
1635271704,63188992.0,0.467246
1635271838,64802816.0,0.465385
1635271983,66871296.0,0.467737
1635272301,70393856.0,0.450486
1635272490,69664768.0,0.485332
1635272588,67596288.0,0.484081
1635272862,61886464.0,0.42163
1635272999,64757760.0,0.429668
1635273304,65372160.0,0.467235
1635273768,69595136.0,0.454256
1635273945,71081984.0,0.504588
1635274043,70307840.0,0.485497
1635274149,66682880.0,0.472435
1635274272,59273216.0,0.440929
1635274415,61042688.0,0.427825
