scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636554196,2048000000,1.0,443654144.0,0.30767,130,512000000,445648896.0,1636759049,3.5,2236511
1636554211,2048000000,1.0,451289088.0,0.414731,140,1024000000,446738432.0,1636807685,1.5,4878410
1636554224,2048000000,1.0,458952704.0,0.452184,150,3840000000,462327808.0,1636798831,1.5,2857369
1636554237,2048000000,1.0,466751488.0,0.452184,160,2304000000,469581824.0,1636739170,4.0,2781787
1636554253,2048000000,1.0,476946432.0,0.554053,170,2048000000,518111232.0,1636835220,0.5,6646116
1636554277,2048000000,1.0,533753856.0,0.40688,180,1536000000,516972544.0,1636757692,3.5,13272110
1636554295,2048000000,1.0,542142464.0,0.698835,190,3072000000,557694976.0,1636735927,4.0,8085599
1636554317,2048000000,1.0,551628800.0,0.509997,200,768000000,564191232.0,1636808125,1.5,11864894
1636554530,1024000000,1.0,626094080.0,0.0,10,1792000000,602877952.0,1636815228,1.0,186144
1636554541,1024000000,1.0,694079488.0,0.070828,20,3328000000,507670528.0,1636799616,1.5,357516
1636554552,1024000000,1.0,737923072.0,0.01017,30,1536000000,325783552.0,1636849767,3.5,729351
1636554563,1024000000,1.0,771387392.0,0.01017,40,2816000000,1616252928.0,1636830189,0.5,734885
1636554858,2048000000,2.0,290095104.0,0.0,10,1792000000,602877952.0,1636815228,1.0,207762
1636554868,2048000000,2.0,290095104.0,0.0,20,3328000000,507670528.0,1636799616,1.5,328362
1636554879,2048000000,2.0,140533760.0,0.0,30,1536000000,325783552.0,1636849767,3.5,480010
1636554889,2048000000,2.0,217878528.0,0.053926,40,2816000000,1616252928.0,1636830189,0.5,645359
1636554900,2048000000,2.0,306728960.0,0.101052,50,1024000000,712429568.0,1636836750,0.5,718467
1636554911,2048000000,2.0,356835328.0,0.131976,60,4096000000,625266688.0,1636747294,3.5,922536
1636554923,2048000000,2.0,412004352.0,0.249553,70,768000000,852271104.0,1636807956,1.5,1755988
1636554934,2048000000,2.0,416661504.0,0.249553,80,2048000000,1854062592.0,1636741632,4.0,1161664
1636554945,2048000000,2.0,421105664.0,0.285719,90,1024000000,1762451456.0,1636745785,4.0,1338516
1636554957,2048000000,2.0,430587904.0,0.38163,100,3072000000,432267264.0,1636858644,3.0,1477461
1636554969,2048000000,2.0,436195328.0,0.311608,110,512000000,438013952.0,1636797487,2.0,1603909
1636554980,2048000000,2.0,441384960.0,0.394314,120,512000000,444276736.0,1636797499,2.0,1800830
1636554992,2048000000,2.0,447328256.0,0.475604,130,512000000,445648896.0,1636759049,3.5,2037435
