scenarioK_kul/antenna_0_features.csv.subcarrier_2_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_4_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_1_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_31_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_9_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_21_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_7_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_15_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_17_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_6_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_28_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_20_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_3_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_11_imaginary,target_x,scenarioK_kul/antenna_0_features.csv.subcarrier_10_imaginary,scenarioK_kul/samples_base.csv.sample_key
0.03125,0.01171875,0.03125,0.08984375,-0.00390625,0.02734375,0.0,0.0,0.01171875,-0.00390625,0.08203125,0.01171875,0.0234375,0.00390625,-812,-0.02734375,user_0_sample_0
0.02734375,0.02734375,0.03125,0.08984375,-0.00390625,0.02734375,0.01171875,0.0234375,0.01171875,0.01171875,0.078125,0.03125,0.02734375,0.00390625,-812,0.0,user_0_sample_10
0.01171875,-0.0234375,-0.01171875,0.08984375,-0.04296875,0.01171875,-0.015625,-0.0390625,-0.01171875,-0.0234375,0.078125,0.0,0.00390625,-0.03125,-812,-0.0390625,user_0_sample_11
0.02734375,0.015625,0.03125,0.09375,-0.00390625,0.04296875,-0.00390625,0.015625,0.0234375,0.01171875,0.0703125,0.0390625,0.015625,0.0,-812,0.0,user_0_sample_12
0.01171875,0.01171875,0.03125,0.0703125,-0.02734375,0.015625,-0.015625,-0.0234375,0.0,-0.01171875,0.0625,0.00390625,0.01171875,0.0,-812,-0.02734375,user_0_sample_100
0.0234375,-0.00390625,0.04296875,0.0625,-0.04296875,0.01171875,-0.01171875,-0.015625,-0.01171875,-0.03125,0.0546875,-0.00390625,0.01171875,-0.015625,-812,-0.03125,user_0_sample_101
0.02734375,0.00390625,0.03125,0.0546875,-0.015625,0.0234375,-0.01171875,-0.015625,0.00390625,-0.00390625,0.05078125,0.0,0.00390625,-0.00390625,-812,-0.0234375,user_0_sample_102
0.03125,0.0,0.03125,0.0625,-0.0234375,0.015625,-0.00390625,-0.015625,-0.015625,-0.015625,0.0390625,0.00390625,0.0,-0.03125,-812,-0.02734375,user_0_sample_103
0.015625,-0.00390625,0.0234375,0.0703125,-0.0234375,0.00390625,-0.0234375,-0.01171875,-0.01171875,-0.015625,0.0625,0.00390625,0.02734375,-0.01171875,-812,-0.01171875,user_0_sample_104
0.0234375,0.01171875,0.02734375,0.08984375,-0.03125,0.0,-0.01171875,-0.015625,-0.00390625,-0.00390625,0.0625,0.0,0.00390625,-0.015625,-812,-0.015625,user_0_sample_105
0.01171875,0.00390625,0.03125,0.0625,-0.02734375,0.00390625,-0.00390625,-0.02734375,-0.015625,-0.015625,0.0625,0.0,0.01171875,-0.015625,-812,-0.0234375,user_0_sample_106
0.01171875,0.0,0.03125,0.0703125,-0.01171875,0.0,-0.015625,-0.01171875,-0.0234375,-0.00390625,0.0546875,0.0,0.01171875,-0.015625,-812,-0.02734375,user_0_sample_107
0.015625,0.01171875,0.02734375,0.0703125,-0.01171875,0.00390625,-0.02734375,-0.02734375,-0.01171875,-0.015625,0.0390625,0.0,0.02734375,-0.00390625,-812,-0.0390625,user_0_sample_108
0.02734375,0.015625,0.0390625,0.08203125,-0.0234375,0.015625,-0.02734375,-0.01171875,-0.01171875,-0.01171875,0.05078125,-0.00390625,0.01171875,-0.01171875,-812,-0.02734375,user_0_sample_109
0.01171875,0.0,0.03125,0.078125,-0.015625,0.01171875,-0.015625,-0.01171875,-0.01171875,0.0,0.0625,0.0,0.015625,-0.02734375,-812,-0.03125,user_0_sample_110
0.015625,0.01171875,0.03125,0.06640625,-0.015625,0.00390625,-0.0234375,-0.00390625,0.00390625,-0.01171875,0.0625,-0.00390625,0.0234375,-0.00390625,-812,-0.02734375,user_0_sample_111
0.0234375,0.015625,0.015625,0.08203125,-0.0234375,0.0,-0.0234375,-0.02734375,-0.01171875,-0.0234375,0.0546875,-0.00390625,0.00390625,-0.0234375,-812,-0.02734375,user_0_sample_112
0.00390625,0.01171875,0.02734375,0.08984375,-0.0234375,0.00390625,-0.0234375,-0.015625,-0.01171875,0.0,0.0703125,0.0,0.01171875,-0.015625,-812,-0.03125,user_0_sample_113
0.015625,-0.00390625,0.03125,0.06640625,-0.00390625,0.00390625,-0.015625,-0.03125,-0.01171875,-0.015625,0.0625,0.00390625,0.01171875,-0.01171875,-812,-0.0234375,user_0_sample_114
