scenarioK_kul/antenna_0_features.csv.subcarrier_9_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_2_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_15_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_11_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_20_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_56_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_17_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_4_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_21_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_6_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_2_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_98_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_0_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_3_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_7_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_69_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_10_imaginary,target_x,scenarioK_kul/samples_base.csv.sample_key,scenarioK_kul/antenna_16_features.csv.subcarrier_5_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_1_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_97_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_55_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_31_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_4_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_14_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_6_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_28_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_54_imaginary,scenarioK_kul/antenna_0_features.csv.subcarrier_1_imaginary,scenarioK_kul/antenna_16_features.csv.subcarrier_96_imaginary
-0.00390625,-0.0234375,0.0,0.00390625,0.01171875,0.109375,0.01171875,0.01171875,0.02734375,-0.00390625,0.03125,0.296875,0.0,0.0234375,0.0,0.17578125,-0.02734375,-812,user_0_sample_0,-0.04296875,-0.0234375,0.2890625,0.13671875,0.08984375,-0.0234375,-0.06640625,-0.04296875,0.08203125,0.09765625,0.03125,0.3046875
-0.00390625,-0.03125,0.0234375,0.00390625,0.03125,0.12890625,0.01171875,0.02734375,0.02734375,0.01171875,0.02734375,0.33203125,0.01171875,0.02734375,0.01171875,0.203125,0.0,-812,user_0_sample_10,-0.03125,-0.03125,0.3203125,0.12890625,0.08984375,-0.05078125,-0.06640625,-0.0546875,0.078125,0.1171875,0.03125,0.31640625
-0.04296875,-0.05078125,-0.0390625,-0.03125,0.0,0.1328125,-0.01171875,-0.0234375,0.01171875,-0.0234375,0.01171875,0.3046875,-0.015625,0.00390625,-0.015625,0.17578125,-0.0390625,-812,user_0_sample_11,-0.0546875,-0.0625,0.3203125,0.10546875,0.08984375,-0.0625,-0.04296875,-0.03125,0.078125,0.10546875,-0.01171875,0.3046875
-0.00390625,-0.0390625,0.015625,0.0,0.0390625,0.13671875,0.0234375,0.015625,0.04296875,0.01171875,0.02734375,0.296875,-0.015625,0.015625,-0.00390625,0.19140625,0.0,-812,user_0_sample_12,-0.0390625,-0.015625,0.3203125,0.12890625,0.09375,-0.04296875,-0.0703125,-0.04296875,0.0703125,0.1171875,0.03125,0.31640625
-0.02734375,0.0,-0.0234375,0.0,0.00390625,0.13671875,0.0,0.01171875,0.015625,-0.01171875,0.01171875,0.296875,0.0234375,0.01171875,-0.015625,0.203125,-0.02734375,-812,user_0_sample_100,-0.03125,-0.00390625,0.30859375,0.13671875,0.0703125,-0.03125,-0.05078125,-0.04296875,0.0625,0.109375,0.03125,0.31640625
-0.04296875,-0.0234375,-0.015625,-0.015625,-0.00390625,0.1328125,-0.01171875,-0.00390625,0.01171875,-0.03125,0.0234375,0.3046875,0.01171875,0.01171875,-0.01171875,0.2109375,-0.03125,-812,user_0_sample_101,-0.015625,-0.00390625,0.30859375,0.12890625,0.0625,-0.0390625,-0.04296875,-0.0234375,0.0546875,0.12109375,0.04296875,0.32421875
-0.015625,-0.00390625,-0.015625,-0.00390625,0.0,0.1171875,0.00390625,0.00390625,0.0234375,-0.00390625,0.02734375,0.30859375,0.02734375,0.00390625,-0.01171875,0.2109375,-0.0234375,-812,user_0_sample_102,-0.0234375,-0.00390625,0.296875,0.12890625,0.0546875,-0.02734375,-0.0390625,-0.015625,0.05078125,0.109375,0.03125,0.30859375
-0.0234375,-0.00390625,-0.015625,-0.03125,0.00390625,0.14453125,-0.015625,0.0,0.015625,-0.015625,0.03125,0.3203125,0.02734375,0.0,-0.00390625,0.21484375,-0.02734375,-812,user_0_sample_103,-0.015625,0.00390625,0.29296875,0.1328125,0.0625,-0.0234375,-0.0703125,-0.01171875,0.0390625,0.12890625,0.03125,0.33203125
-0.0234375,-0.01171875,-0.01171875,-0.01171875,0.00390625,0.12109375,-0.01171875,-0.00390625,0.00390625,-0.015625,0.015625,0.30859375,0.0,0.02734375,-0.0234375,0.21484375,-0.01171875,-812,user_0_sample_104,-0.015625,-0.00390625,0.31640625,0.12890625,0.0703125,-0.0234375,-0.06640625,-0.03125,0.0625,0.12109375,0.0234375,0.3203125
-0.03125,-0.00390625,-0.015625,-0.015625,0.0,0.1328125,-0.00390625,0.01171875,0.0,-0.00390625,0.0234375,0.32421875,0.01171875,0.00390625,-0.01171875,0.2109375,-0.015625,-812,user_0_sample_105,-0.02734375,0.01171875,0.3046875,0.12890625,0.08984375,-0.03125,-0.0625,-0.03125,0.0625,0.10546875,0.02734375,0.30859375
